publisher,shooting_games_count,Shooters_Critic,Shooter_User
Activision,162,46.54938271604938,4.4876543209876525
"Electronic Arts",145,67.06206896551724,6.700689655172416
Ubisoft,92,67.78260869565217,6.669565217391304
"Take-Two Interactive",65,72.95384615384616,6.947692307692309
"Sony Computer Entertainment",52,52.82692307692308,5.401923076923078
Atari,40,33.45,3.2349999999999994
Sega,40,40.725,4.570000000000001
"Konami Digital Entertainment",40,35.4,2.55
"Namco Bandai Games",37,33.08108108108108,3.435135135135135
THQ,36,65.16666666666667,6.01388888888889
"Eidos Interactive",35,59.17142857142857,6.251428571428572
"Vivendi Games",30,74.86666666666666,7.143333333333332
"Microsoft Game Studios",29,80.34482758620689,7.17241379310345
Nintendo,25,35.88,3.6359999999999997
Capcom,25,39.44,3.884
"Bethesda Softworks",21,51.285714285714285,5.3238095238095235
LucasArts,19,55,5.6947368421052635
Codemasters,19,59.36842105263158,6.1421052631578945
"505 Games",18,38.888888888888886,4.483333333333333
"Acclaim Entertainment",17,15.941176470588236,1.6470588235294117
"Midway Games",17,62.411764705882355,6.723529411764706
"Square Enix",16,52.625,4.59375
Unknown,13,44.07692307692308,3.6923076923076925
"GT Interactive",12,0,0
D3Publisher,12,54.416666666666664,6.1499999999999995
"Warner Bros. Interactive Entertainment",10,67.2,6.720000000000001
"Majesco Entertainment",9,48.44444444444444,4.977777777777778
"City Interactive",8,48.5,5.549999999999999
SCi,8,38.375,4.975
"BAM! Entertainment",8,49.25,3.025
"SouthPeak Games",8,65,6.2125
"Zoo Digital Publishing",8,45.875,3.0875
"Global Star",8,54.625,4.2625
"Virgin Interactive",7,31.857142857142858,3.6142857142857143
Cave,7,0,0
Infogrames,6,33.333333333333336,3.5666666666666664
"Ignition Entertainment",6,76,7.383333333333334
"Empire Interactive",5,43.2,4.840000000000001
3DO,5,31.4,3.84
"Deep Silver",5,45.2,3.8199999999999994
Interplay,5,15.8,1.3800000000000001
"Hudson Soft",4,0,0
"TDK Mediactive",4,63.75,5.85
Taito,4,24.75,0
"Universal Interactive",4,72.25,6.125
"Midas Interactive Entertainment",4,45.75,5.125
"Rising Star Games",4,67.25,5.55
"Activision Value",4,22.25,7.675
Mastiff,4,0,2.375
"Zoo Games",4,21.25,2.7
"Play It",4,50.5,6.475
Mastertronic,4,37,3.9749999999999996
Imagic,3,0,0
"Valve Software",3,93,8.6
"Fox Interactive",3,20.333333333333332,2.5
"Trion Worlds",3,61,6.866666666666667
NovaLogic,3,39.666666666666664,5.133333333333334
"Tecmo Koei",3,42.666666666666664,2.966666666666667
"Gathering of Developers",3,59.666666666666664,7.133333333333333
"Crave Entertainment",3,10.333333333333334,0
"Disney Interactive Studios",3,70.66666666666667,2.433333333333333
Psygnosis,3,0,0
Alchemist,3,0,0
"DreamCatcher Interactive",3,69.66666666666667,7.833333333333333
5pb,3,0,0
"Red Storm Entertainment",2,0,0
"Zushi Games",2,0,0
"Rebellion Developments",2,62,7
"Neko Entertainment",2,0,0
"Tripwire Interactive",2,76,7.65
"Playlogic Game Factory",2,37,6.699999999999999
Moss,2,31.5,3.9
"BMG Interactive Entertainment",2,0,0
"SNK Playmore",2,0,0
"Reef Entertainment",2,70.5,4.1
"Evolved Games",2,38.5,3.3
Titus,2,15,1.8
"Swing! Entertainment",2,55.5,6.65
"Groove Games",2,16,3.5
Atlus,2,0,0
"Conspiracy Entertainment",2,46.5,2.4
PQube,2,33.5,3.8
"Nordic Games",2,0,0
Destineer,2,64.5,6.55
"Gearbox Software",2,73.5,3.45
JVC,2,33.5,0
N/A,2,0,2.6
Valve,1,95,8.4
"Gotham Games",1,55,8.6
Success,1,0,0
"CTO SpA",1,0,0
TalonSoft,1,48,6.6
"Sony Computer Entertainment Europe",1,78,8.9
Coleco,1,0,0
SquareSoft,1,0,0
Wargaming.net,1,80,3.7
Sunsoft,1,0,0
"Hasbro Interactive",1,0,8
"Mattel Interactive",1,0,0
Ocean,1,0,0
"20th Century Fox Video Games",1,0,0
"Gremlin Interactive Ltd",1,0,0
"Metro 3D",1,79,9.1
"DTP Entertainment",1,56,7.1
"Essential Games",1,0,0
"EA Games",1,75,6.5
"NDA Productions",1,54,7
"From Software",1,48,7.5
"Rage Software",1,63,7.6
"Bohemia Interactive",1,74,7.4
"Enjoy Gaming ltd.",1,0,0
CCP,1,73,6.3
"Interplay Productions",1,0,0
"Phantom EFX",1,44,4.8
"O3 Entertainment",1,78,8.5
"Big Ben Interactive",1,56,0
"Valcon Games",1,73,7.5
Mitsui,1,0,0
Banpresto,1,0,0
Milestone,1,66,0
Altron,1,0,0
Telstar,1,0,0
Tommo,1,0,0
"Xseed Games",1,64,7.9
"Hudson Entertainment",1,0,0
TechnoSoft,1,0,0
"Popcorn Arcade",1,0,0
Starfish,1,0,0
"DHM Interactive",1,67,6.1
"Time Warner Interactive",1,0,0
Graffiti,1,44,6.9
"Avalon Interactive",1,55,8
O-Games,1,0,0
ESP,1,0,0
"Hip Interactive",1,60,6.5
"id Software",1,85,8.2
"Irem Software Engineering",1,0,0
Gaga,1,0,0
"Devolver Digital",1,0,0
"Jack of All Games",1,0,0
"Nippon Ichi Software",1,55,4.7
"Lexicon Entertainment",1,64,0
"Phoenix Games",1,39,0
Kemco,1,33,2.8
"UFO Interactive",1,0,0
Arika,1,0,0
Visco,1,51,7.6
Funsta,1,59,0
"MC2 Entertainment",1,76,8
Warashi,1,0,0
Jaleco,1,0,0
G.Rev,1,0,0
"LSP Games",1,76,0
